transcriptionid	videoid	Domain	termname	videoname	deptname	deptacronym	CourseNumber	CourseName	SectionName
000f5db7-9bc3-46f5-95a6-d694585ab399	c5c5bcfd-30c0-4a3c-a1d1-6e60ab5e030a	gvsu.edu	Spring  2021	Lecture 11:  grep-wildcards	School of Computing and Information Systems	CIS	241	System-level Programming and Utilities	ALL
00168d74-e9cd-4ed9-9fd6-2945a6e8fd0a	d0ad8c6c-5f03-4d46-a282-598206e6f248	gvsu.edu	Spring  2021	Congestion Control -- Intro	School of Computing and Information Systems	CIS	457	Data Communications	ALL
001b0551-3d52-4eeb-b454-b1f87716d543	ffc7786a-1b78-4459-b16c-14adf08844e8	illinois.edu	Spring 2021	CS 225 Lecture 2021-02-24 February 24, 2021	Computer Science	CS	225	Data Structures	AL1
001dba23-6b52-425d-be49-81364658488f	2832a7d8-e0f0-4f75-bf6b-fbb46df32df4	illinois.edu	Summer 2020	CS 225-AL1 February 26, 2020	Computer Science	CS	225	Data Structures	AL1/AL2
002169f0-bfed-4209-86a5-312369a317bd	12250bd6-3129-4808-aac6-f8b6cb1189a1	illinois.edu	Fall 2020	UIUC CS 374 FA 20: 22.1.2. A quick pre-review of complexity classes	Computer Science	CS	374	Introduction to Algorithms & Models of Computation	ANY
00284a96-1a55-4882-b283-cdd8daae345b	c70b2dca-b7f0-49c4-ad1c-a49ba6acfcdb	illinois.edu	Spring 2021	Lecture 11	Math	MATH	450	CS 450: Numerical Analysis	CS 450 / Math 450 / CSE 401 / ECE 491
00284a96-1a55-4882-b283-cdd8daae345b	c70b2dca-b7f0-49c4-ad1c-a49ba6acfcdb	illinois.edu	Spring 2021	Lecture 11	Computer Science	CS	450	CS 450: Numerical Analysis	CS 450 / Math 450 / CSE 401 / ECE 491
00284a96-1a55-4882-b283-cdd8daae345b	c70b2dca-b7f0-49c4-ad1c-a49ba6acfcdb	illinois.edu	Spring 2021	Lecture 11	Electrical and Computer Engineering	ECE	491	CS 450: Numerical Analysis	CS 450 / Math 450 / CSE 401 / ECE 491
003195b2-f1ec-4607-961e-0478183a0409	3a558ab0-c35f-40f9-88e2-3b66b60dd9d3	illinois.edu	Spring 2021	CS361 SP21 Lecture 13 March 09, 2021	Computer Science	CS	361	Probability and Statistics for Computer Science	AL1
0040720f-3886-4dc4-a0ab-148bb31da28c	82ad31d3-8553-45b2-823c-a2acb9307cae	illinois.edu	Fall 2019	CS 233-AL1 December 09, 2019	Computer Science	CS	233	Computer Systems	AL1/AL2
0041c995-61b1-4102-8bc9-773c333eb7bc	35eb4c88-dcbf-401c-95a4-345870c3efde	illinois.edu	Fall 2020	video_17_dplyr.mp4	Statistics	STAT	430	Data Science Programming Methods	DSPM
004445f3-16da-42c1-8350-e2438c3c769d	86333660-cdf2-4822-b85e-41bb21f3db48	illinois.edu	Spring 2021	lesson04 python/flow August 11, 2020	Computer Science	CS	101	Introduction to Computing for Engineers and Scientists	AL1
005ba50a-666f-4da2-97e3-6f09a813931e	ccd1891a-95ad-42f4-bd70-e764dc299db6	illinois.edu	Fall 2020	Linsys - Computational cost September 24, 2020	Computer Science	CS	357	Numerical Methods 1	M,N
005ec5c0-e770-4566-8b8d-735de318ab49	5adfdbc7-447b-4d52-afcf-b2a362115b53	illinois.edu	Spring 2020	ECE 408-CL January 23, 2020	Computer Science	CS	483	Applied Parallel Programming	AL
005ec5c0-e770-4566-8b8d-735de318ab49	5adfdbc7-447b-4d52-afcf-b2a362115b53	illinois.edu	Spring 2020	ECE 408-CL January 23, 2020	Electrical and Computer Engineering	ECE	408	Applied Parallel Programming	AL
0065450c-daf5-45f8-a904-972f57ff8b8f	c477aa5d-6104-4e7a-bda2-386e93f045f0	illinois.edu	Fall 2019	CS 173-BLR August 26, 2019	Computer Science	CS	173	Discrete Structures	AL1/2
0067a78d-7c4e-45a9-808d-b86e05783279	0c4f7e79-142e-41cd-90c0-0be3840900f6	illinois.edu	Fall 2020	Nonlinear Intro October 16, 2020	Computer Science	CS	357	Numerical Methods 1	M,N
006bb8f1-d722-4ef9-ad99-656f60bac7d4	d5b388f5-a8c2-47cf-b0c7-096ac67481f8	illinois.edu	Spring 2021	lesson15 numerics/random October 15, 2020	Computer Science	CS	101	Introduction to Computing for Engineers and Scientists	AL1
007a4c69-a949-4550-b450-ecb4cd7a8b1e	517cb8d8-1e5c-46e5-ac82-a7599aacb49e	illinois.edu	Fall 2021	CS241-Lec18-Q03	Computer Science	CS	241	System Programming	AL1
00866d60-3f3b-47db-8f36-935a04b18a4e	9395de49-cb00-414b-88de-1da682b9e506	illinois.edu	Spring 2021	Lecture 7b 	 Industrial Engineering,	IE	300	Analysis of Data	ALL
008e9c45-fb96-4932-a932-c609d269c833	d4747487-247e-481d-a03d-6582adfb8269	illinois.edu	Spring 2021	CS361 SP21 Lecture 15 March 18, 2021	Computer Science	CS	361	Probability and Statistics for Computer Science	AL1
