transcriptionid	videoid	phrases_both	phrases_caption	phrases_video
9a443634-7f2e-4d3a-9ccd-0f1b6604c939	5d5ac9e4-567b-4ce1-a1b2-b4dd5197013c	syntagmatic relation, relation discovery, paradigmatic relation	scoring function, text retrieval, similarity function, discover syntagmatic relation, word distribution	similar word, paradigmatic relation discovery, idf weighting, popular term
6a9537c1-62fc-4f31-a8a7-bdfcad2f50eb	e212734f-6e3e-4124-ac91-f21ab1e126a1	topic model, probabilistic topic, text mining, probabilistic topic model, word distribution, generative model, topic mining	probabilistic model, zero probability, world distribution, data mining, topic coverage, parameter value, probability distribution, mining algorithm	topic word distribution, computation task, topic word, probabilistic topic mining
54ab232c-85cb-4829-abd0-6cbaed5f3fc8	ce34689a-3b10-4b2d-83e1-e79b589b9582	language model, topic model, probabilistic topic, probabilistic topic model	maximum likelihood estimate, likelihood estimate, unigram language model, zero probability, unigram language, text mining, maximum likelihood, probability distribution, word distribution, generative model	unigram lm, simple language, simple language model, statistical language model, statistical language, topic mining
48b37a2f-5ca3-4b7b-9bfc-d841da37c566	9b1fc643-c08f-43ea-a801-ed76727f4c45	language model, maximum likelihood, topic mining	maximum likelihood estimate, likelihood estimate, unigram language model, bayesian inference, zero probability, unigram language, text mining, likelihood estimator, maximum likelihood estimator, prior knowledge, parameter value, conditional probability, probability distribution, word distribution, generative model, posterior probability, likelihood function	statistical language, statistical language model
e6c92e3a-0169-4af1-96d7-3fe4a5303e3a	c1d82277-97a2-4db4-bb6a-a33df2745bd5	maximum likelihood estimate, topic model, likelihood estimate, probabilistic topic, maximum likelihood, probabilistic topic model	objective function, optimization problem, unigram language model, probabilistic model, unigram language, maximum likelihood estimator, text mining, language model, likelihood estimator, likelihood function, mining algorithm, generative model, word distribution	mining one topic, simple case, one topic, topic mining
8eaf2971-31ff-40b7-9fc6-b91c7637f916	9e7e8290-40d0-41a5-a3a5-09c69371fbf4	topic model, unigram language model, background word, probabilistic topic, unigram language, language model, probabilistic topic model, generative model	maximum likelihood estimate, likelihood estimate, topic word distribution, mixture model, topic word, maximum likelihood estimator, likelihood estimator, maximum likelihood, component model, word distribution, likelihood function	two unigram language, two unigram
27d06808-2624-4922-a079-04dccb301dde	78873d30-24f0-456d-af04-2935c3ecf451	probabilistic topic model, probabilistic topic, topic model, mixture model	objective function, background model, topic word distribution, background word, topic word, maximum likelihood estimator, likelihood estimator, world distribution, maximum likelihood, component model, word distribution, likelihood function	mixture model estimation, model estimation, one topic
5350ccd0-beab-48fc-8484-d8e6a38c4cbf	bd76c12f-bd57-4677-8aa1-50b46227d456	mixture model	objective function, background model, background language model, background word, background language, maximum likelihood estimator, language model, likelihood estimator, maximum likelihood, component model, word distribution, likelihood function	topic model, model estimation, probabilistic topic, datum frequency, mixture model estimation, probabilistic topic model
93efd70b-16b1-45f1-9c81-c0f2aeb7c9ee	4b1fb2d3-4f9b-4850-a355-c2ea0ef0344a	probabilistic topic model, topic model, probabilistic topic	background model, maximum likelihood estimate, likelihood estimate, topic word distribution, background word, bayesian inference, mixture model, topic word, world distribution, maximum likelihood, parameter value, word distribution	maximization algorithm
4c3d9363-8e43-44fe-ab21-8740cfd1a8c5	cbf1da89-1466-4d25-b81c-6d345e9b88c7		background model, hidden variable, topic word distribution, background word, topic word, text mining, world distribution, parameter value, likelihood function, mining algorithm, word distribution	maximization algorithm, topic model, probabilistic topic, probabilistic topic model
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	882df9df-e834-4d22-811e-9eb9fdcd33f0		background model, topic model, background language model, optimization problem, background word, background language, mixture model, probabilistic model, maximum likelihood estimator, language model, likelihood estimator, maximum likelihood, topic coverage, word distribution, likelihood function	mixed topic, ml parameter, latent semantic analysis, mining multiple topic, semantic analysis, probabilistic latent, parameter estimation, multiple topic, ml parameter estimation
4453a049-7597-4df4-9b9b-67c2d124a116	a02d0ea0-2235-47f9-8562-974151c70692		hidden variable, background language model, unigram language model, background language, mixture model, unigram language, maximum likelihood estimator, language model, likelihood estimator, maximum likelihood, word distribution	probabilistic latent, latent semantic analysis, semantic analysis, em algorithm
5190e288-54f7-4021-9083-8e8ceac11345	2663cf62-2f01-429f-8c0c-ea777cb56d9f	prior knowledge	topic model, background language model, background language, information retrieval, bayesian inference, maximum likelihood estimator, language model, likelihood estimator, maximum likelihood, world distribution, topic coverage, word distribution, generative model	latent dirichlet, dirichlet allocation, latent dirichlet allocation
d857a66b-1018-4ffb-821a-9d8acc6f5012	5c0df7ef-8040-4233-8b18-0c91ca645094	probabilistic topic model, topic model, probabilistic topic, likelihood function	background model, maximum likelihood estimate, likelihood estimate, topic word distribution, bayesian inference, training data, mixture model, topic word, maximum likelihood estimator, text mining, likelihood estimator, maximum likelihood, topic coverage, word distribution, generative model	latent dirichlet, dirichlet allocation, parameter estimation, latent dirichlet allocation
8717e27a-33fb-4d06-ae68-2e0d915b1568	1ad61df9-ce18-467d-927b-a0da2cff7ca7	document clustering, probabilistic model, mixture model, text clustering, topic mining	topic model, world distribution, topic coverage, word distribution, generative model, likelihood function	generative probabilistic model, generative mode
f64adab4-578a-4868-8b2c-03fdd4ddf55d	923f6adf-9d96-439e-b5ca-ee43cb81f4a9	text clustering, probabilistic model, likelihood function	topic model, unigram language model, document clustering, mixture model, unigram language, maximum likelihood estimator, language model, likelihood estimator, maximum likelihood, word distribution, posterior probability	cluster allocation, generative probabilistic model
dccc8a84-66da-47ce-ab88-28e8acf192b9	7e7ea099-d2b7-44fb-8d38-2a05ce7657c6	document clustering, text clustering, probabilistic model	topic model, hidden variable, unigram language model, mixture model, unigram language, maximum likelihood estimator, language model, likelihood estimator, maximum likelihood, probability distribution, word distribution, posterior probability, likelihood function	ml estimate, generative probabilistic model
6962b043-7dd8-4050-bad0-bbdb13e2c302	c00450ef-9290-41db-a40d-b648226369b4	document clustering, text categorization, probabilistic model, naive baye	background model, topic word distribution, unigram language, maximum likelihood estimator, language model, word distribution, mixture model, zero probability, posterior probability, logistic regression, discriminative classifier, scoring function, unigram language model, background language, training data, logistical regression, likelihood estimator, maximum likelihood, prior knowledge, machine learning, generative model, background language model, categorization problem, topic word, text clustering, conditional probability	naive baye classifier, generative probabilistic model, baye classifier
ee41ce3a-6c8d-4c3b-90fd-79f3e9190402	e2bd5a88-004f-42e6-adef-41306c6b549e	opinion mining, sentiment analysis	generative model, topic model, text categorization, language processing, text mining, natural language, mining algorithm, opinion holder, word distribution	user rating behavior, aspect rating analysis, rating behavior analysis, aspect rating, rating decomposition, user rating, consumer preference, sample result, latent aspect, preference weight, value location, rating behavior, rating analysis, latent aspect rating, behavior analysis
