0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-04 14:31:40.390557	2	00:00:00.29	00:00:04.52	This lecture is about the Word Association mining and analysis.	this lecture be about the Word Association mining and analysis .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283111	5	00:00:14.97	00:00:21.53	In this lecture we're going to talk about how to mine associations of words from text.	in this lecture we be go to talk about how to mine association of word from text .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283112	8	00:00:22.88	00:00:30	This is an example of knowledge about natural language that we can mine from text data.	this be an example of knowledge about natural language that we can mine from text datum .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 08:55:39.870965	11	00:00:33.21	00:00:39.08	Here's the outline. We are gooing to first talk about what is word Association and then.	here be the outline . we be gooe to first talk about what be word Association and then .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283115	18	00:00:40.34	00:00:55.44	explain why discovering such relations is useful and finding a going to talk about some general ideas about how to mine word associations. In general there are two word relations, and these are quite basic.	explain why discover such relation be useful and find a going to talk about some general idea about how to mine word association . in general there be two word relation , and these be quite basic .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283116	23	00:00:56.47	00:01:10.69	One is called a paradigmatic relation, the other is syntagmatic relations. A&B have paradigmatic relation if they can be substituted for each other.	one be call a paradigmatic relation , the other be syntagmatic relation . A&B have paradigmatic relation if they can be substitute for each other .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 08:58:27.092471	32	00:01:11.37	00:01:35.75	That means the two words that have paradigmatic relation would be in the same semantic class or syntactic class, and we can in general replace one by the other without affecting the understanding of the sentence. That means we would still have a valid sentence. For example, cat and dog.	that mean the two word that have paradigmatic relation would be in the same semantic class or syntactic class , and we can in general replace one by the other without affect the understanding of the sentence . that mean we would still have a valid sentence . for example , cat and dog .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 08:58:54.175007	35	00:01:37.06	00:01:44.98	And these two words have paradigmatic relation because they are in the same class.	and these two word have paradigmatic relation because they be in the same class .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 08:59:07.72443	36	00:01:45.61	00:01:46.49	of animal.	of animal .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283122	40	00:01:47.57	00:01:57	And in general, if it replace cat with dog in a sentence, the sentence would still be a valid sentence that you can make sense of.	and in general , if it replace cat with dog in a sentence , the sentence would still be a valid sentence that you can make sense of .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 08:59:49.47817	42	00:01:58.2	00:02:02.13	Similarly, Monday and Tuesday have paradigmatic relation.	similarly , Monday and Tuesday have paradigmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283124	44	00:02:04.83	00:02:09.68	The second kind of relation is called syntagmatic relation.	the second kind of relation be call syntagmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283126	50	00:02:10.48	00:02:22.82	In this case, the two words that have this relation can be combined with each other. So A&B have syntagmatic relation If they can be combined with each other in a sentence.	in this case , the two word that have this relation can be combine with each other . so A&B have syntagmatic relation if they can be combine with each other in a sentence .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283127	52	00:02:25.34	00:02:29.71	That means these two words are semantically related.	that mean these two word be semantically relate .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:00:41.026557	54	00:02:30.63	00:02:36.96	So for example, Cat and sit are related because a cat can sit somewhere.	so for example , Cat and sit be relate because a cat can sit somewhere .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283131	64	00:02:37.97	00:03:04.24	Similarly, car and drive are related semantically, and they can be combined with each other to convey meaning. However, in general we cannot replace cat with sit in a sentence or car with drive in a sentence to still get a valid sentence. Meaning that if we do that, the sentence will become somewhat meaningless.	similarly , car and drive be relate semantically , and they can be combine with each other to convey meaning . however , in general we can not replace cat with sit in a sentence or car with drive in a sentence to still get a valid sentence . mean that if we do that , the sentence will become somewhat meaningless .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283133	73	00:03:05.9	00:03:30.93	So this is different from paradigmatic relation and these two relations are in fact so fundamental, that they can be generalized to capture basic relations between units in arbitrary sequences. And definitely they can be generalized to describe relations of any items in the language.	so this be different from paradigmatic relation and these two relation be in fact so fundamental , that they can be generalize to capture basic relation between unit in arbitrary sequence . and definitely they can be generalize to describe relation of any item in the language .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283134	75	00:03:31.5	00:03:36.71	So A&B don't have to be words and they can be phrases example.	so A&B do n't have to be word and they can be phrase example .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283137	87	00:03:37.84	00:04:10.81	And they can even be more complex phrases than just a noun phrase. If you think about the general problem of the sequence mining, then we can think about the units in the sequence data, and then we think of paradigmatic relation as relations that are applied to units that tend to occur in similar locations in a sentence or in a sequence of their elements in general.	and they can even be more complex phrase than just a noun phrase . if you think about the general problem of the sequence mining , then we can think about the unit in the sequence datum , and then we think of paradigmatic relation as relation that be apply to unit that tend to occur in similar location in a sentence or in a sequence of their element in general .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283139	94	00:04:11.57	00:04:30.29	So they occur in similar locations relative to the neighbors in the sequence. Syntagmatic relation, on the other hand, is related to co-occurring elements that tend to show up in the same sequence.	so they occur in similar location relative to the neighbor in the sequence . syntagmatic relation , on the other hand , be relate to co - occurring element that tend to show up in the same sequence .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.28314	100	00:04:33.05	00:04:46.41	So these two are complementary and basically relations of words, and we're interested in discovering them automatically from text data. Discovering such world relations has many applications.	so these two be complementary and basically relation of word , and we be interested in discover they automatically from text datum . discover such world relation have many application .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:10:01.883332	110	00:04:47.13	00:05:11.37	First, such relations can be directly useful for improving accuracy of many NLP tasks, and this is because this is part of our knowledge about the language. So if you know these two words or synonyms, for example, and then you can help a lot of tasks. And grammer learning can be also done by using such techniques because	first , such relation can be directly useful for improve accuracy of many nlp task , and this be because this be part of our knowledge about the language . so if you know these two word or synonym , for example , and then you can help a lot of task . and grammer learning can be also do by use such technique because
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283145	118	00:05:12.14	00:05:31.64	If we can learn paradigmatic relations, then we form classes of words. Syntactic classes for example. And if we learn syntagmatic relations, then we would be able to know the rules for putting together a larger expression based on component expressions.	if we can learn paradigmatic relation , then we form class of word . syntactic class for example . and if we learn syntagmatic relation , then we would be able to know the rule for put together a large expression base on component expression .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283146	120	00:05:32.28	00:05:37.5	So we'll learn the structure and what can go with what else.	so we 'll learn the structure and what can go with what else .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283149	129	00:05:39.73	00:06:00.62	Word relations can be also very useful for many applications in text retrieval and mining. For example, in search in text retrieval we can use word associations to modify a query. And this can be used to introduce additional related words to a query to make the query more effective.	word relation can be also very useful for many application in text retrieval and mining . for example , in search in text retrieval we can use word association to modify a query . and this can be use to introduce additional related word to a query to make the query more effective .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283149	130	00:06:01.44	00:06:03.48	It's often called query expansion.	it be often call query expansion .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.28315	133	00:06:04.16	00:06:10.76	Or you can use related words to suggest related queries to the user to explore the information space.	or you can use related word to suggest related query to the user to explore the information space .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283152	141	00:06:12.63	00:06:31.2	Another application is to use word associations to automatically construct the topic map for browsing where we can have words as nodes and associations as edge. is a user could navigate from one word to another to find information in the information space.	another application be to use word association to automatically construct the topic map for browse where we can have word as node and association as edge . be a user could navigate from one word to another to find information in the information space .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283153	144	00:06:33.36	00:06:39.74	Finally, such word associations can also be used to compare and summarize opinions.	finally , such word association can also be use to compare and summarize opinion .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283154	147	00:06:40.51	00:06:47.99	For example, we might be interested in understanding positive and negative opinions about iPhone 6.	for example , we might be interested in understand positive and negative opinion about iPhone 6 .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283155	152	00:06:49.13	00:07:00.57	In order to do that, we can look at what words are most strongly associated with a feature word like the battery in positive versus negative reviews.	in order to do that , we can look at what word be most strongly associate with a feature word like the battery in positive versus negative review .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283155	155	00:07:01.52	00:07:08.57	Such a syntagmatic relations would help us show the detailed opinions about the product.	such a syntagmatic relation would help we show the detailed opinion about the product .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283157	162	00:07:10.48	00:07:21.58	So how can we discover such associations automatically? Now here are some intuitions about how to do that. Let's first look at the paradigmatic relation.	so how can we discover such association automatically ? now here be some intuition about how to do that . let 's first look at the paradigmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-15 01:22:40.526681	164	00:07:28.9	00:07:33.31	Here we essentially can take advantage of similar context.	here we essentially can take advantage of similar context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283158	166	00:07:34.01	00:07:38.64	So here you see some simple sentences about cat and dog.	so here you see some simple sentence about cat and dog .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283159	168	00:07:39.85	00:07:43.49	You can see they generally occur in similar context.	you can see they generally occur in similar context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:15:28.987645	170	00:07:44.23	00:07:48.47	And that, after all, is the definition of paradigmatic relation.	and that , after all , be the definition of paradigmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.28316	174	00:07:49.37	00:07:59.25	So on the right side you can see I extracted explicitly the context of cat and dog from this small sample of text data.	so on the right side you can see I extract explicitly the context of cat and dog from this small sample of text datum .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283161	177	00:08:00.39	00:08:07.49	So I have taken away cat and dog from the corresponding sentences so that you can see just the context.	so I have take away cat and dog from the correspond sentence so that you can see just the context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283162	179	00:08:08.69	00:08:12.99	Now of course we can have different perspectives to look at the context.	now of course we can have different perspective to look at the context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283162	182	00:08:13.7	00:08:22.52	For example, we can look at the what words occur in the left part of this context.	for example , we can look at the what word occur in the left part of this context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283163	185	00:08:23.4	00:08:32.67	So we can call this left context. What words occur before we see cat, cat or dog.	so we can call this left context . what word occur before we see cat , cat or dog .
