sentence	source	arget	relation
this section is a short review of system architecture topics that you’ll need for system programming.	programming	programming	is
an interrupt is internally an electrical signal that is delivered to the processor when something happens – this is a hardware interrupt [3].	when  hardware	processor	is
this is an oversimplification because there are certain hardware faults that can’t be ignored or masked away, but this class isn’t about teaching you to build an operating system.	system	system	is
there is a well-established set of registers that the arguments go in according to the kernel as well as a system call “number” again defined by the kernel.	again  kernel	kernel	is
hyperthreading is a new technology and is in no way shape or form multithreading.	form	shape	is
it is a network protocol that allows you to spawn a shell on a remote machine.	remote  machine	machine	is
so what do you need to know is a few things.	few  things	so  what	is
git is a decentralized version control system, meaning that you’ll need to get a repository onto your vm.	repository	vm	is
here is a list of commands you probably won’t need to fix your repo 1.	probably  repo	1	is
here is a quick example with an assert.	assert	assert	is
valgrind is a suite of tools designed to provide debugging and profiling tools to make your programs more correct and detect some runtime issues [4].	issues	4	is
valgrind is a effective tool to check for errors at runtime.	runtime	runtime	is
threadsanitizer is a tool from google, built into clang and gcc, to help you detect race conditions in your code [5].	code	code	is
gdb is a program that helps you track down errors by interactively debugging them [6].	errors	interactively  them	is
setting breakpoints programmatically a breakpoint is a line of code where you want the execution to stop and give control back to the debugger.	back  debugger	debugger	is
a shell is a programming language that is running inside your terminal.	terminal	terminal	is
the undefined behavior sanitizer is a wonderful tool provided by the llvm project.	llvm  project	project	is
if you want to see if there is an error that may cause a race condition, casting error, etc, all you need to do is the following.	following	error	is
puts(" work things out on your own."); fprintf(stdout,"this homework is a stepping stone to all future assignments.\n"); char p[] = "so, you will want to clear up any confusions or misconceptions.\n"; write(1, p, strlen(p) ); char buffer[1024]; sprintf(buffer,"for grading purposes, this homework 0 will be graded as part of your lab %d work.\n", 1); write(1, buffer, strlen(buffer)); printf("press return to continue\n"); read(0, buffer, sizeof(buffer)); return 0; }	buffer	continue\n	is
this is a handy guide that’ll help you move away from the latter and towards the former.	handy  guide	away  former	is
preprocessing is a copy and paste operation that the compiler performs before actually compiling the program.	actually  program	program	is
if the left operand is a pointer and the right operand is an integer type, then only plus or minus may be used and the rules for pointer arithmetic are invoked.	arithmetic	arithmetic	is
what this statement means is that everything is a file descriptor, which is an integer.	integer	what	is
for example, here is a file object, a network socket, and a kernel object.	kernel object	example	is
a system call is an operation that the kernel carries out.	kernel	that	is
there is a shortcut function perror that prints the english description of errno.	errno	errno	is
the first parameter is a format string that includes placeholders for the data to be printed.	data	placeholders	is
here is an example of printing things out.	things	things	is
; printf("hello %s, your result is %d\n", name, score); printf("debug: the string and int are stored at: %p and %p\n", name, &score ); // name already is a char pointer and points to the start of the array.	array	array	is
the buffering semantics of printf is a little complicated.	printf	printf	is
there is a printf equivalent that works with file descriptors, called dprintf.	descriptors	descriptors	is
here is a quick example of reading at most 10 characters from standard input.	standard  input	input	is
it is a good idea to check if the number is equal to the amount expected.	amount	amount	is
a c-string is a series of bytes delimited by a nul character which is equal to the byte 0x00.	byte	byte	is
in low-level terms, a struct is a piece of contiguous memory, nothing more.	contiguous  memory	memory	is
a void pointer is a pointer without a type.	type	type	is
secondly, it is a good habit to set pointers to null, once the memory has been freed.	memory	null	is
after the function returns, it is an error to continue to use the memory.	memory	memory	is
it is an error to assume that it will always be initialized to zero.	error	always  zero	is
an operating system is a program that provides an interface between hardware and user software as well as providing a set of tools that the software can use.	software	that	is
this is a standard (or many standards now) that an operating system must implement to be posix compatible – most systems that we’ll be studying are almost posix compatible due more to political reasons.	political  reasons	reasons	is
kernel space is a power operating mode that allows the system to interact with the hardware and has the potential to destroy your machine.	machine	machine	is
this is where there is a central clock on a standard laptop or desktop.	desktop	laptop	is
a process is an instance of a computer program that may be running.	program	program	is
• a heap the heap is a contiguous, expanding region of memory [5].	memory	memory	is
here is a simple example of this address space cloning.	cloning	cloning	is
here is a summary of what is relevant: 1. fork will return a non-negative integer on success.	success	success	is
wait is a simpler version of waitpid.	waitpid	waitpid	is
this is a high-level overview of how information is stored inside the status variables.	variables	variables	is
