sentence	source	start
2 background	background	2
2.1 systems architecture	system	4
this section is a short review of system architecture topics that you’ll need for system programming.	this section	0
this section is a short review of system architecture topics that you’ll need for system programming.	system	34
this section is a short review of system architecture topics that you’ll need for system programming.	section	5
what is assembly? assembly is the lowest that you’ll get to machine language without writing 1’s and 0’s. each computer has an architecture, and that architecture has an associated assembly language. each assembly command has a 1:1 mapping to a set of 1’s and 0’s that tell the computer exactly what to do. for example, the following in the widely used x86 assembly language add one to the memory address 20 [13] – you can also look in [8] section 2a under the add instruction though it is more verbose.	the following	320
what is assembly? assembly is the lowest that you’ll get to machine language without writing 1’s and 0’s. each computer has an architecture, and that architecture has an associated assembly language. each assembly command has a 1:1 mapping to a set of 1’s and 0’s that tell the computer exactly what to do. for example, the following in the widely used x86 assembly language add one to the memory address 20 [13] – you can also look in [8] section 2a under the add instruction though it is more verbose.	address	397
what is assembly? assembly is the lowest that you’ll get to machine language without writing 1’s and 0’s. each computer has an architecture, and that architecture has an associated assembly language. each assembly command has a 1:1 mapping to a set of 1’s and 0’s that tell the computer exactly what to do. for example, the following in the widely used x86 assembly language add one to the memory address 20 [13] – you can also look in [8] section 2a under the add instruction though it is more verbose.	memory	390
what is assembly? assembly is the lowest that you’ll get to machine language without writing 1’s and 0’s. each computer has an architecture, and that architecture has an associated assembly language. each assembly command has a 1:1 mapping to a set of 1’s and 0’s that tell the computer exactly what to do. for example, the following in the widely used x86 assembly language add one to the memory address 20 [13] – you can also look in [8] section 2a under the add instruction though it is more verbose.	section	440
why do we mention this? because it is important that although you are going to be doing most of this class in c, that this is what the code is translated into. serious implications arise for race conditions and atomic operations.	code	135
an operation is atomic if no other processor should interrupt it. take for example the above assembly code to add one to a register. in the architecture, it may actually have a few different steps on the circuit. the operation may start by fetching the value of the memory from the stick of ram, then storing it in the cache or a register, and then finally writing back [12] – under the description for fetch-and-add though your micro-architecture may 7	code	102
an operation is atomic if no other processor should interrupt it. take for example the above assembly code to add one to a register. in the architecture, it may actually have a few different steps on the circuit. the operation may start by fetching the value of the memory from the stick of ram, then storing it in the cache or a register, and then finally writing back [12] – under the description for fetch-and-add though your micro-architecture may 7	memory	266
vary. or depending on performance operations, it may keep that value in cache or in a register which is local to that process – try dumping the -o2 optimized assembly of incrementing a variable. the problem comes in if two processors try to do it at the same time. the two processors could at the same time copy the value of the memory address, add one, and store the same result back, resulting in the value only being incremented once. that is why we have a special set of instructions on modern systems called atomic operations. if an instruction is atomic, it makes sure that only one processor or thread performs any intermediate step at a time. with x86 this is done by the lock prefix [8, p. 1120].	thread	602
