sentence	source
,uh... perhaps you're going to write it in c, perhaps you're going to write it in some other language. it doesn't matter. it doesn't matter. the idea is all the same. ok so here's the goal. we're going to try to modify this code to be what's called 'thread safe' in other words i can actually use it with multiple threads so along the way we're going to fix some errors as well. ok so what do we got. we've got a pointer that corresponds to the start of my linked list. uhm, in more complicated examples this might be in a separate data structure but this is good enough for a little example here. ok, and then i've got two methods to	['a struct', 'code', 'thread', 'pointer']
a million dollars and oh hold on a moment what's this dinosaur business that should never appear remember my second my other thread didn't actually do anything with the result instead this dinosaur is claiming that it's so jurassic park have one close to a billion dollars right so we can see that these two threads are are interacting in a way that we don't want to happen right the string that we're using down here have been corrupted by the other thread now hopefully this is probably obvious as to why this is happening that the two calls to text message from other one another two both end up writing into the same piece of memory so let's just talk about how we might try to fix it so one possibility is you might say well what if i made this static ok that's not going to help all you've done is change the visibility of this variable is still only going to be one of it is just that now only the code inside this dot c file this compilation unit will actually be able to refer to this particular variable	['memory', 'code', 'string', 'thread']
about it when i'm doing internal memory pointers if i just say this is always how i'm going to treat my code or my pointers etc are going to be this type or my editions will be based on this ok so what do we lose well we lose a little bit of flexibility were potentially over allocating bites so in fact we might need to a small amount of wasted space	['memory', 'type', 'code', 'pointer']
acquire in the same order i can never generate the case where i've got a process to which has now acquired this but then also goes backwards and create awaiting condition on an earlier resource all of my lines which correspond to it waiting for resources must be to the right i cannot generate that cycle in the wakeful graph which pictorially always kind of looks like a bow tie where i've ended up with weights on resources which are both before and after in my resource order so all of my weights i'm going to be to the right and therefore is always possible for the earlier resources to be complete my process is complete so therefore i cannot set up a chain or between my process is where i end up say with process three waiting for process one and process one waiting for process doing ok so that is the secret source it's always make sure that we get resources in the same order so i want you to think about how you would implement that suppose for example you had a set of integers say they might be under a one of a link list and each one of those integers has a mutex lock so m one m two m three m four m five etc how can i make sure that if i need to lock let's say two or three mutex locks in order to modify those integers how can i ensure that all of my code always locks the necessary integers in the same order case how would you do that and answers that will be in a future lecture video bye for now	['code', 'a mutex', 'a process', 'resources', 'code', 'a mutex', 'a process', 'resources']
across multiple processes using shared memory but more about that in the future also notice that my counting semaphores here number spaces and numb items i'm afraid works on linux but does not work on os x so if you in turn apple maybe think about this as a summer project ok so great we've got something which works providing only one thread at a time is calling nq if i have multiple threads then they could both get past this line but my changing of the buffer here is actually critical section i don't want two threads to see the same value of in here so first of all declare these right and so i better have a mutex lock inside here so pthread mutex look	['memory', 'a mutex', 'section', 'thread']
actually if we look back in time r block size on old systems was actually limited to just five hundred twelve twelve bytes so so if you want to know about the actual space used on their disk you can read this kind of blocksize here but realize that that if you	['block', 'system', 'block', 'system']
all automatic variables are little stack variables here and that includes parameters as well ok so what does t what is t one and what's it doing well t one what is its type is a pointer to a character and otherwise it's going to hold a memory address and add that memory address we expect to find characters right but we're giving it this string so actually a t one is going to hold the memory address of that h it's going to point directly into the text segment it's going to hold that memory address which between you and me is going to be a low value the text document is is it near the beginning of the processes memory ok now this is a price however with t two t two is not a pointer is actually an array we didn't bother to specify the size because the compiler can work that out itself and the surprise here is actually the compiler is going to write some extra code for us here because rather than just looking at that that string literal in memory when we call this function it's actually going to copy those bites it's going to copy the one two three four five six seven eight nine bites including that zero bye to the end into the stack memory forwards so if i was to stop my process an actually use a debugger to have a look around i would find the original abcdefg h and then i'd find a copy of that inside the stack and the difference between the two of course is that the stack version we can modify as minutes mutable because it's just stack memory	['memory', 'type', 'parameter', 'code', 'string', 'address', 'pointer']
all right and again we could reason about this we could say if there's if there's any locks if there's any threads sleeping on this waiting to push the only time that that can occur is if the reached the maximum number so if any is equal to now nine then i know that	['thread', 'thread', 'thread', 'thread']
all we have to remember is that we are very careful to only use that piece of memory be careful so if we asked one hundred bytes only use a hundred bytes don't start using the hundred one hundred two hundred three bites step probably important and being used for something else also if we know the start of our allocation don't use the bytes before again those bytes are probably going to be used for something else and if we override them then our program will probably have undefined behavior who knows what it's going to do so let's take a look at this little puzzle here i've got two calls to malloc i'm requesting ten bites and then later eight bytes and the puzzle is how can i make these two calls actually returned the same address now you might notice in this example here that i've got these void things so avoid pointer means i want to store an address and i'm not going to tell you what there just simply treat it as a number as an address as a memory location and we won't talk about what kind of objects or what kind of primitives or anything about with storing there so we can't we can't we shouldn't do pointer arithmetic on void pointers or at least that's the official line more about that later ok so we've got our two memory allocation requests how could these possibly would be returned the same thing so the answer to our little puzzle here is what do we do the following after calling malloc we immediately say hey thanks so those bites but you know what i changed my mind i don't need them anymore so let me call free and pass in	['the following', 'memory', 'memory allocation', 'address', 'pointer']
alright let's get back to the next part right so also on the compilation step we have this wonderful thing called size of now size of it is evaluated at compile time let me say that again at compile time so if i say size of int the compiler says look on this platform i know that an inch is four bytes or eight bytes so that actually becomes a number eight four oh eight if i give it a variable like counter then it will depend upon the type that variable so if a counter isn't it again this would evaluate to save four on a particular platform possibly even two on a small embedded cpu ok so it tells us the number of bytes required to store that value if i have a pointer so let me make it a point to type so here is a pointer to an int ok so on a thirty two bit system there were thirty two wires which represents the address all my addressable memory ok so if i want to talk about a particular address being able to read or write a particular bite i need thirty two bits also known as four bytes so on that particular machine i would need for bytes to hold a pointer to a particular integer on a modern processor probably you're looking at me right now using a sixty four bit processor sixty four bits is going to require a sixty four bits to hold an address in other words it's going to take eight bytes to hold that address so so size of can be very useful now when i care about how big something is	['memory', 'type', 'address', 'system', 'pointer']
also notice that we've had to do a mem copy here so that's the performance cost of of buffering which is now we're copying bytes into memory so if you're so we've traded one performance hick up for another so yes we can improve performance a little bit because we're not making lots and lots of lots of calls to the system for every little character in every little string that we're trying to send out but the expense but the way we paid for it is to now copy things into a single buffer so this is has some performance improvement but i hope you can see that for really specialized cases this distill has some performance penalty and so we could still do even better than that if we wanted to take control over own destiny and not use things like f board s to write truly performant code so yes we've reduced the number of system calls but we've paid for it by copying things into memory so there's an additional cost there alright so that's kind of quick sketch of the things we need to think about when implementing the c library are see you in the next video bye	['memory', 'code', 'string', 'system']
an actual string like this or i can specify it as a host name so for example like illinois dot edu ok if i do this then there's probably going to be a packet leaving my machine in the next moment to say hey we need to figure out the ip address of this host name can you help me please	['string', 'address', 'string', 'address']
and also if we pop from things we will just decrement size k and pre decrement size and then read that as our result so in this implementation the value the thing that we're putting on and the thing that we would later return at the same thing it's not like we're actually going to duplicate this string being passed it was simply going to say oh thanks for that memory pointer later on i will give you back exactly the same memory pointer so it's up to the calling code to make sure that the	['memory', 'code', 'string', 'pointer']
and and and be very careful about about typos when you copy paste code alright so we've made our first program that can run two things at the same time in fact is doing three things at the same time we've got our original thread that's going to get stuck at these two places these two gatekeepers the only way you can get through both is after both threads have finished and we had two threads running hello we could have made it more complicated example where we started another thread starting on yeah or different function altogether ok the big news however is to all of these threads live inside the same address space they can all see the same physical ram if you had one thread that was like agent smith that wanted to go haywire it could actually overwrite the other pieces of memory of the other threads in an effort to take over the world ok right so i'll see you in the next video bye	['memory', 'code', 'thread', 'address']
and as usual we've assumed that the format of are integers is compatible with a type here and even that the format of our our string incompatible say that it's going to be using ascii it might be using a different kind of character set for example might be using unicode or utf eight etc etc etc so life is never as quite as easy as it appears and as you can see we're doing a lot of work and in fact it's going to be quite slow to call not only making a remote procedure call will also the heat memory as well ok so but that's kind of a feel for why are writing this stuff code is is annoying boilerplate stuff to write ideally we'd have a tool to generate it for us and you've seen one example of that already in the lab with rpc jenn right so this socially now think about how we can kind of marshall all the data that we want to kind of send over the while and how we can une marshall it as well and that's going to be our next video bye	['memory', 'type', 'code', 'string']
and as you can see initially i don't have any cake ok but soon we're going to be creating cake and we're going to use this because i want to talk about creating resources and then consuming those resources ok it's kind of very standard problem that we're going to have when we start writing larger pieces of code that now i've got bits of code processes and threads which are putting things into my data structure or or finishing images or finishing processing of videos etc and then i've got other threads say great as soon as you have these things i wanted now consume these and act upon them right so what do i have in order to implement this well you can see just like i could have p thread threads i can have a mutex thing here it is and here is a condition variable and just like a p thread mutex initializer lips will fix that actually must be an underscore	['a struct', 'code', 'a mutex', 'thread', 'resources']
and as you know they are necessary and sufficient we need all fall to be true and exactly or for them to be true and then we know that we've met the conditions for deadlock so what are they let's actually look at some definitions here so here's the first wanna process is currently holding at least one resource and requesting additional resources which are being held by other processes ok so it is holding and waiting so that's a hold and wait condition	['a process', 'resources', 'a process', 'resources', 'a process', 'resources', 'a process', 'resources']
and at the steps were going to kind of concentrate on here is actually this very first step is to somehow we need a way to wait to enter the griddle section if another thread or process is inside the critical section and then we'll do something so there's a critical section code and then will lead to critical section so we need to do something after that and then most of the time off threads and processes doing other things so that's the problem we're going to solve this problem we're going to address is how do we how do we correctly deal with critical sections and we're going to look from this from a historical perspective and look at some examples which don't work alright that's it for today that's it for days lecture video and i'll see you in the future bye	['code', 'section', 'thread', 'address']
and finally we need to return something to the user should we return chosen now that would be a mistake that would be the wrong memory address return we actually want to return the piece of memory that we allocated for them which is inside our data structure under the word pointer or under the field pointer ok right so what do you think about that does it work yes it does but there's a couple of bugs here so i'll talk about one and then we'll talk about some of the others in a little bit so one quick problem is it is actually pretty slow look at all of these system calls or calling s break here ass break their esport here ass break their perhaps surely you can do better than that well yes actually here's one quick way there if you actually read the description of how s brake works it returns the old	['memory', 'a struct', 'address', 'system', 'pointer']
and for that we really don't need to understand how to work with errors and how to print out errors and how to discover when things don't work so networking is tricky because with things don't work where you actually want to understand what your problem with the client or the server was there a problem in setting up the connection and so dealing with errors becomes quite important areas can be because of code areas we've made but it also can be say because the client has finished the connection before the server had finished saying everything he wanted to say unvoice versa ok so let's start talking about errors that right so	['code', 'code', 'code', 'code']
and i need to declare it i don't need to write that i can just i know that it's inside you <unistd.h> right so now we have a little main method high maine and you take the number of arguments and a pointer pointer rv fight ok so let's just read from standard input right now i need a place for that i need some bites well i could call malloc to get some bites on the heap i could have a global variable such as an array or i could have a stack variable read does not care or re cares about is hey give me an address and tell me how many bytes i can right there ok so let me have a little buffer space here pick a random number like four thousand ninety six ok so now you know that if i just use the variable buffer without pushing the square brackets then that is going to evaluate the very first bite of that away or the stack is not a pointer it's an away and arrays can't be changed to look at somewhere else so i can't say ok variable start looking at this other memory location you cannot do that but we can use it in a pointer context so let's do that let's call size t and will say result and say ok read now at this point i need that file descriptor	['memory', 'the heap', 'address', 'pointer']
and i want to reserve some space for might my file so i'd like to know how big it is now one way you may have seen already is simply to use stat stat tells me all sorts of great things about a file its size which file system is on the number of hard links we haven't talked about yet modification times and all that good stuff but let's just stay within the c library today for the most portable code and figure out how big the file	['code', 'system', 'code', 'system']
and if it changes it will send her a warning message out ok so it's going to be busy keep going around inside this loop checking the date as fast as it possibly can right so that's the code we know and also we set the name of the thread to hal nine thousand hope you know the movie reference and then let's start that running through it ok so i want to run this i'm going to say write java please run my app and i went in the background now if i was running on lenox this would actually print out the process id why because here i'm opening a special file called slash proc slash self and that is normally a symbolic link in lenox to the process numbers so then i could get the real path and get its name however i'm running on a mac so that did not tell me the proces name right so what are we going to do about that well fortunately i could do several things i can for example use ps and that would be a huge list of all processes there's even a version with java however there's just prints out to java processes so there we go we found out they process id of the currently running program so now great i can send a signal let's do sig quit to eighteen seventy	['code', 'a process', 'thread', 'background']
and if you want to use it from code then there's the equivalent system call here again we use a path but this time you actually to specify the mode numbers as well there are symbolic numbers in here or you can write your own octal number in here ok so but there is not this kind of second form you can't do this from	['code', 'system', 'code', 'system']
and inside our main method we're going to do we're going to create a whole load of pizza it's ok and make a note of their thread i ds pass in the firework function ok and then after we've done that we will set fireworks equal to one and then will call preconditions signals so we know that is going to wake up one thread	['thread', 'thread', 'thread', 'thread', 'thread', 'thread']
and it's important to bear in mind that anything else any other threads that are running will continue to exit it's just that one thread that happens to be running this hello code ok right so we could now start to kind of create create our threads here so let's do p thread create and at this point i need to give it a pointer to a thread id so i need the address of my little variable here will make that in a moment the next thing is the attributes and i don't need any of those	['code', 'a thread', 'thread', 'address', 'pointer']
and my calls here wouldn't be able to continue until say these two have completed and then i can start doing the merge simile this merge can happen once these two have finished so it's kind of fun to sketch out how you might actually implement this so how would you use condition way to how to use p threaded barrier to make your code run nice and fast	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
and my little loop will know when i call pizza create i have to pass in a void pointer but what if that void pointer actually was just the y value in other words somehow will take the value that we want to give to a thread and convert it into just the void pointer type so we're literally just casting it pretending that the values zero is a memory location pretending that value one is a memory location etc so we're not actually passing in the address of a real piece of memory we're just converting the integer into a void pointer into a memory pointer we have to do the same hack when we receive this information so we've asked thread create to start a thread and to get a new cpu for us to run this calc one so what is calc one here it is ok and the value that we pass into hack here so here's hack which is going to appear here that's going to be passed into this variable here avoid pointed here and rather than try to dereference that no we're treating that memory location that address as the actual integer that we want ok so we're passing it casting it back into it so this is an exciting hack honestly we have no true way to know whether enters officially going to be as large or smaller than what can be represented by a void pointer i certainly wouldn't recommend this in production code but i hope you can see how it works and certainly you will come across these kind	['memory', 'type', 'code', 'a thread', 'thread', 'address', 'pointer']
and now i want to represent that so with my ascii graphics i'm going to have a character i wanted to display in each one of those positions of my little terminal window so i've got height times width and i just want to initially to set all of those two a dot k so rather than might be in for loop let's use their more performant memset i want every bite to be this doc character so whatever ascii value that happens to be happens to be thirty three but no one needs to know that and will do that for the say half million characters or however many there are in my display probably eighty times twenty four for example right so time to get started right so here's here's the plan then right i need the thread runner that's going to sign my thread that's going to run the display and that's going to run the function called display and as an argument will pass that heap memory and then i've got all of my runners which actually cause the rain on my display so they're going to run a little function called run and again i pass a pointer to my heat then we so you might be concerned that my variable here image is actually a stack variable will remember we're not actually going to that particular variable we actually passing its value what is this value is a pointer is looking at the heap memory that we we allocated here ok so yes we are using a heap stack variable here but that's fine because actually what gets passed is the address of of heap memory of the mileage memory ok so anyway back to this we're going to create all of those threads we remember the thread i ds then we're going to call p fed exit on our main thread in other words we will never get to this line here so	['heap memory', 'memory', 'the heap', 'thread', 'address', 'pointer']
"and now i've got, great, the actual information i wanted to do with system call that i can make called open. or i want to know about the stat, and great, i've got all the versions of stat that i can now use on my apple system here. so section two is reserved for kind of system calls. what about strlen? so if i ask for strlen, there is no manual entry for strlen inside section two. why not? strlen not a system call. we do not need to go back to the kernel ""and say, """"hey excuse me, kernel, please look at my memory"" ""to figure out how long my c string is."""" i don't need"" to invoke the whole operating system for that. i can do that directly inside my process's memory. so for things which are part of the c library, i just need to go to section three. and so that's where we'll find strlen and other things like strcmp to compare two strings, or say strcat. so [indistinct word] up to specify the system area, sorry, the"	['memory', 'string', 'section', 'a system call', 'system']
