sentence	source	start
this section is a short review of system architecture topics that you’ll need for system programming.	this section	0
hyperthreading is a new technology and is in no way shape or form multithreading.	hyperthreading	0
valgrind is a suite of tools designed to provide debugging and profiling tools to make your programs more correct and detect some runtime issues [4].	valgrind	0
valgrind is a effective tool to check for errors at runtime.	valgrind	0
threadsanitizer is a tool from google, built into clang and gcc, to help you detect race conditions in your code [5].	threadsanitizer	0
gdb is a program that helps you track down errors by interactively debugging them [6].	gdb	0
setting breakpoints programmatically a breakpoint is a line of code where you want the execution to stop and give control back to the debugger.	a breakpoint	37
a shell is a programming language that is running inside your terminal.	a shell	0
the undefined behavior sanitizer is a wonderful tool provided by the llvm project.	behavior sanitizer	14
preprocessing is a copy and paste operation that the compiler performs before actually compiling the program.	preprocessing	0
if the left operand is a pointer and the right operand is an integer type, then only plus or minus may be used and the rules for pointer arithmetic are invoked.	operand	12
a system call is an operation that the kernel carries out.	a system call	0
the first parameter is a format string that includes placeholders for the data to be printed.	parameter	10
the buffering semantics of printf is a little complicated.	printf	27
a c-string is a series of bytes delimited by a nul character which is equal to the byte 0x00.	string	4
in low-level terms, a struct is a piece of contiguous memory, nothing more.	a struct	20
a void pointer is a pointer without a type.	pointer	7
the following is a rapid fire section.	the following	0
an operating system is a program that provides an interface between hardware and user software as well as providing a set of tools that the software can use.	system	13
a process is an instance of a computer program that may be running.	a process	0
the heap is a contiguous, expanding region of memory.	the heap	8
process forking is a powerful and dangerous tool.	process forking	0
the following is a snippet of how to use system.	the following	0
this also means that system is a blocking call.	system	21
however, this detail is an unwanted complexity.	this detail	9
the survey makes sure to note that memory allocation is a moving target.	memory allocation	35
our heap memory is a list of blocks where each block is either allocated or unallocated.	heap memory	4
allocating memory is a worst-case linear time operation – search linked lists for a sufficiently large free block.	memory	11
the slub allocator is a slab allocator that serves different needs for the linux kernel slub.	the slub allocator	0
the slub allocator is a segregated list allocator with minimal splitting and coalescing.	the slub allocator	0
almost weirdly, a thread is a process, meaning that creating a thread is similar to fork, except there is no copying meaning no copy on write.	a thread	16
calling pthread_exit in the main thread is a common way for simple programs to ensure that all threads finish.	thread	9
